YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2020,GMC,CANYON SLE/SLT,EXTERIOR,The 2020 Canyon small pickup truck bridges the gap of form and function with its versatile cargo box and other advanced features.,"Safety or driver assistance features are no substitute for the driver’s responsibility to operate the vehicle in a safe manner. The driver should remain attentive to traffic, surroundings and road conditions at all times. Visibility, weather, and road conditions may affect feature performance. Read the vehicle’s Owner’s Manual for important feature limitations and information.",https://www.gmc.com/content/dam/gmc/na/us/english/index/vehicles/2020/trucks/canyon-mov/canyon-sle-slt/features/exterior/2020-canyon-exterior-mh-lg-20PGCN00097.jpg?imwidth=960
2020,GMC,CANYON SLE/SLT,EXTERIOR,"A higher expression of Canyon style, the Elevation Edition makes a confident statement with its sleek, sophisticated exterior features.  
 
 18"" multi-spoke Satin Graphite painted aluminum wheels 
 Body-color grille surround with black insert 
 Exterior Color Options: Carbon Black Metallic,† Dark Sky Metallic,† Satin Steel Metallic,† Red Quartz Tintcoat,† Summit White and Onyx Black† 
  Available on Canyon SLE","Safety or driver assistance features are no substitute for the driver’s responsibility to operate the vehicle in a safe manner. The driver should remain attentive to traffic, surroundings and road conditions at all times. Visibility, weather, and road conditions may affect feature performance. Read the vehicle’s Owner’s Manual for important feature limitations and information.",https://www.gmc.com/content/dam/gmc/na/us/english/index/vehicles/2020/trucks/canyon-mov/shared-assets/2020-canyon-mp-special-editions-elevation-20PGCN00252.jpg?imwidth=960
2020,GMC,CANYON SLE/SLT,EXTERIOR,Available Spray-On Bedliner,"Provides a permanent, durable, nonskid surface
Covers the entire bed below the side rails, including the tailgate, front box top rail and lower tie-down hooks",https://www.gmc.com/content/dam/gmc/na/us/english/index/vehicles/2020/trucks/canyon-mov/canyon-sle-slt/features/exterior/2020-canyon-exterior-bedliner-20PGCN000144.jpg?imwidth=960
2020,GMC,CANYON SLE/SLT,EXTERIOR,Integrated CornerStep Rear Bumper,"Enables easy access to the cargo bed, even when the tailgate is open.",https://www.gmc.com/content/dam/gmc/na/us/english/index/vehicles/2020/trucks/canyon-mov/shared-assets/2020-canyon-mp-work-smart-20PGCN00022-update.jpg?imwidth=960
2020,GMC,CANYON SLE/SLT,EXTERIOR,Available Upper Tie-Downs,Can be placed in 13 locations to help you manage cargo of many shapes and sizes.,https://www.gmc.com/content/dam/gmc/na/us/english/index/vehicles/2020/trucks/canyon-mov/canyon-sle-slt/features/exterior/2020-canyon-exterior-tie-downs-20PGCN00019.jpg?imwidth=960
2020,GMC,CANYON SLE/SLT,EXTERIOR,Available Cargo Accessories,"Canyon offers a variety of accessory features to help you keep your cargo organized, secure and easy to access.

Cargo-bed divider
Tiered storage cross rails
Assist steps",https://www.gmc.com/content/dam/gmc/na/us/english/index/vehicles/2020/trucks/canyon-mov/canyon-sle-slt/features/exterior/2020-canyon-exterior-cargo-accesories-20PGCN00098.jpg?imwidth=960
2020,GMC,CANYON SLE/SLT,EXTERIOR,EZ-Lift and Lower Tailgate with New Remote Locking Feature,"Lowers and raises with reduced effort thanks in part to an internal torsion bar
Can be locked and unlocked via key fob",https://www.gmc.com/content/dam/gmc/na/us/english/index/vehicles/2020/trucks/canyon-mov/canyon-sle-slt/features/exterior/2020-canyon-exterior-header-lower-tailgate-20PGCN00017.jpg?imwidth=960
2020,GMC,CANYON SLE/SLT,EXTERIOR,The 2020 Canyon small truck was meticulously designed to the final detail.,"Lowers and raises with reduced effort thanks in part to an internal torsion bar
Can be locked and unlocked via key fob",https://www.gmc.com/content/dam/gmc/na/us/english/index/vehicles/2020/trucks/canyon-mov/canyon-sle-slt/features/exterior/2020-canyon-exterior-header-lower-tailgate-20PGCN00017.jpg?imwidth=960
2020,GMC,CANYON SLE/SLT,EXTERIOR,Chrome Mirror Caps and Door Handles,Touches of chrome enhance the Canyon SLT’s bold design (not available on SLE models).,https://www.gmc.com/content/dam/gmc/na/us/english/index/vehicles/2020/trucks/canyon-mov/shared-assets/2020-canyon-mp-chrome-handles-20PGCN00043.jpg?imwidth=960
2020,GMC,CANYON SLE/SLT,EXTERIOR,Chrome Grille Surround,Chrome accentuates the centerpiece of Professional Grade design – the GMC grille.,https://www.gmc.com/content/dam/gmc/na/us/english/index/vehicles/2020/trucks/canyon-mov/shared-assets/2020-canyon-mp-chrome-grille-20PGCN00041.jpg?imwidth=960
