YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2020,Hyundai,Venue,Snow Mode,Get a grip.,"Drive Mode Select lets you choose normal, sport or snow mode. So when the slippery stuff starts coming down, choose Snow Mode with advanced traction control for optimized driving in bad weather.",https://www.hyundaiusa.com/images/vehicles/pages/vlp/2020/venue/snow-mode/venue-snow.png
2020,Hyundai,Venue,Venue Denim,"Cool, Classic Denim.","The versatile and nimble Venue Denim edition is a 
							special combination of features including contrasting 
							blue with white accents, 17-inch alloy wheels and 
							a striking interior denim/leatherette combo.",https://www.hyundaiusa.com/images/vehicles/pages/vlp/2020/venue/denim/venue-side.jpg
2020,Hyundai,Kona,Rear Cross-Traffic Collision Warning (RCCW)*,Rear Cross-Traffic Collision Warning (RCCW)*,"Helps you back out of a parking space or driveway by detecting traffic coming from either side of the rear of your
								vehicle and provides an audible warning.",https://www.hyundaiusa.com/images/new-thinking/smartsense/feature/FCA-desktop.jpg
2020,Hyundai,Kona,Rear Cross-Traffic Collision Warning (RCCW)*,Forward Collision-Avoidance Assist (FCA)*,"The moment it detects a slowing or stopped vehicle or a pedestrian in your path, it warns you of a potential
								collision. If you don't stop in time, the system will automatically apply emergency braking to help avoid or reduce the severity
								of a collision.",https://www.hyundaiusa.com/images/new-thinking/smartsense/feature/FCA-desktop.jpg
2020,Hyundai,Tucson,Forward Collision-Avoidance Assist (FCA)*,"Expansive space, high-end details.","The moment it detects a slowing or stopped vehicle or a pedestrian in your path, it warns you of a potential collision. If you don’t stop in time, the system will automatically apply emergency braking to help avoid or reduce the severity of a collision.",https://www.hyundaiusa.com/images/new-thinking/smartsense/feature/FCA-desktop.jpg
2020,Hyundai,Santa Fe,Safe Exit Assist (SEA)*,Safe Exit Assist (SEA)*,"This pioneering innovation prevents your passengers from stepping onto the road when its radar detects a vehicle approaching from behind. If necessary, it will override attempts to deactivate the Electronic Child Safety Lock until it's safe for your child to open the door.",https://www.hyundaiusa.com/images/new-thinking/smartsense/feature/FCA-desktop.jpg
2020,Hyundai,Santa Fe,Safe Exit Assist (SEA)*,Forward Collision-Avoidance Assist with Pedestrian Detection*,"Always on the lookout for potential collisions, this standard feature warns you when approaching a slowing or stopped vehicle or pedestrian, and brakes if necessary, to avoid impact.",https://www.hyundaiusa.com/images/new-thinking/smartsense/feature/FCA-desktop.jpg
2020,Hyundai,Santa Fe,Safe Exit Assist (SEA)*,Rear Cross-Traffic Collision-Avoidance Assist (RCCA)*,"When you’re going in reverse, it lets you know if its sensors detect a vehicle approaching from the left or right. It will even apply the brakes automatically if needed.",https://www.hyundaiusa.com/images/new-thinking/smartsense/feature/RCCW-desktop.jpg
2020,Hyundai,Santa Fe,Safe Exit Assist (SEA)*,Rear Occupant Alert (ROA)*,"As the engine is turned off, a visual warning in the instrument cluster reminds you to check the rear seats before exiting.",https://www.hyundaiusa.com/images/new-thinking/smartsense/feature/ROA-desktop.jpg?v=2
2020,Hyundai,Palisade,Versatility,The possibilities are endless.,"You can do it all. Weekend camping. Ski trips. Soccer practice, ballet and shopping. Near or far, weather or not, the well-equipped Palisade is engineered rock-solid to take you there.",https://www.hyundaiusa.com/images/vehicles/pages/vlp/2020/palisade/main/gallery/versatility-01.jpg?v=2
2020,Hyundai,Palisade,Versatility,Versatility,"Confidence comes along on every trip. With available HTRAC All Wheel Drive, Palisade gives you the traction to weather every storm, terrain and all kinds of road conditions.",https://www.hyundaiusa.com/images/vehicles/pages/vlp/2020/palisade/main/gallery/overlay/versatility-01.jpg?v=2
2020,Hyundai,Elantra,High Beam Assist (HBA)*,High Beam Assist (HBA)*,This thoughtful system shares your safety with others. It automatically senses oncoming traffic and dims your high beam headlights.,https://www.hyundaiusa.com/images/new-thinking/smartsense/feature/FCA-desktop.jpg
2020,Hyundai,Elantra,High Beam Assist (HBA)*,Forward Collision-Avoidance Assist (FCA)*,"The moment it detects a slowing or stopped vehicle in your path, it warns you of a potential collision. If you don’t stop in time, the available system will automatically apply emergency braking to help avoid or reduce the severity of a collision. Even better, Pedestrian Detection, a lookout that warns for pedestrians in your path, is also available on Limited with Ultimate Package.",https://www.hyundaiusa.com/images/new-thinking/smartsense/feature/FCA-desktop.jpg
2020,Hyundai,Elantra,High Beam Assist (HBA)*,Rear Cross-Traffic Collision Assist (RCCW)*,Helps you back out of a parking space or driveway by detecting traffic coming from either side of the rear of your vehicle and provides an audible warning.,https://www.hyundaiusa.com/images/new-thinking/smartsense/feature/RCCW-desktop.jpg
