YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2020,Lexus,IS,Key Features,PADDLE-SHIFT TRANSMISSIONS,Advanced paddle-shift transmissions put the exhilarating performance of the IS models at your fingertips.,https://lexus.com/cm-img/shared/features/2017/IS/Lexus-IS-8-speed-sport-direct-shift-transmission-keyfeatures-870x654-LEX-ISG-MY17-0077-01.jpg
2020,Lexus,IS,Key Features,THE 2020 IS LINE,"The boldly styled IS line not only turns heads on the road, it even refuses to go unnoticed while parked.",https://lexus.com/cm-img/features/2020/IS/Lexus-IS-pod-shot-thumbnail-keyfeatures-870x654-LEX-ISG-MY19-0029-02_M75.jpg
2020,Lexus,IS,Key Features,ALL-WHEEL DRIVE,This advanced system on the IS 300 AWD and IS 350 AWD helps provide enhanced traction and control.,https://lexus.com/cm-img/features/2019/IS/Lexus-IS-all-wheel-drive-keyfeatures-870x654-LEX-ISG-MY17-0041_M75.jpg
2020,Lexus,IS,Key Features,PREMIUM TRIPLE-BEAM HEADLAMPS,"Offering one more way to command attention, these headlamps are as striking as they are courteous.",https://lexus.com/cm-img/features/2019/IS/Lexus-IS-triple-beam-headlamp-thumbnail-keyfeatures-870x654-LEX-ISG-MY19-0009_M75.jpg
2020,Lexus,IS,Key Features,10.3-INCH MULTIMEDIA DISPLAY,The available class-leading 10.3-inch display* makes everything from the Lexus Enform App Suite* to the full-screen Navigation* map a stunning viewing experience.,https://lexus.com/cm-img/features/2020/IS/Lexus-IS-multimedia-display-keyfeatures-thumbnail-870x654-LEX-ISG-MY19-0075_M75.jpg
2020,Lexus,IS,Key Features,PERFORMANCE DRIVING MODES,Customize your dose of adrenaline. Drive Mode Select enables you to make your IS more responsive or efficient with the simple turn of a dial.,https://lexus.com/cm-img/shared/features/2017/IS/Lexus-IS-performance-driving-modes-keyfeatures-870x654-LEX-ISG-MY17-0056-09.jpg
2020,Lexus,IS,Key Features,F SPORT PERFORMANCE,Exclusive F SPORT features take the thrilling performance of the IS to the next level.,https://lexus.com/cm-img/features/2020/IS/Lexus-IS-f-sport-performance-keyfeatures-870x654-LEX-ISG-MY19-0006-01_M75.jpg
2020,Lexus,IS,Key Features,LEXUS ENFORM*,"With Lexus Enform, peace of mind, convenience and entertainment are always within reach.",https://lexus.com/cm-img/features/2020/IS/Lexus-IS-enformwatch-keyfeatures-thumbnail-870x654-LEX-MIS-CY19-0060_M75.jpg
2020,Lexus,IS,Key Features,TOUCH-BASED CLIMATE CONTROLS,Change the cabin temperature with a swipe of your finger.,https://lexus.com/cm-img/features/2019/IS/Lexus-IS-touch-based-climate-controls-keyfeatures-870x654-LEX-ISG-MY19-0027_M75.jpg
2020,Lexus,IS,Key Features,F SPORT STYLING,"Aggressively styled, the IS F SPORT is designed to stimulate the senses, inside and out.",https://lexus.com/cm-img/features/2019/IS/Lexus-IS-F-sport-styling-keyfeatures-870x654-LEX-ISG-MY19-0028_M75.jpg
