YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2020,Mercedes Benze,GLA SUV,DESIGN,Sized to fit in. Styled to stand out.,"Taut, trim and muscular, the GLA is big on style from its iconic grille to its LED taillamps. Big 18-inch or 19-inch wheels and black fender flares lend a confident stance. Chrome and aluminum add elegant accents from bumpers to roof.",https://www.mbusa.com/content/dam/mb-nafta/us/myco/my20/gla/class-page/non-amg/2020-GLA-SUV-CL-1-2-2-DR.jpg
2020,Mercedes Benze,GLA SUV,DESIGN,Sleek yet spacious. Functional starts with fun.,"The compact GLA packs some sizable surprises. Its sensible footprint conceals a cabin that's generous with legroom, headroom and luxury. And while it's solid and strong, it also slips through the wind efficiently and quietly.",https://www.mbusa.com/content/dam/mb-nafta/us/myco/my20/gla/class-page/non-amg/2020-GLA-SUV-CT-1-3-DR.jpg
2020,Mercedes Benze,GLA SUV,DESIGN,More cubic feet. Opens with your foot.,"With the available HANDS-FREE ACCESS, just a ""kick"" under the bumper can open the standard power liftgate. It's a grand opening to a generous space: 43.6 cu ft of cargo room with the rear seats folded, or a generous trunk with all five seats in use.",https://www.mbusa.com/content/dam/mb-nafta/us/myco/my20/gla/class-page/non-amg/2020-GLA-SUV-CR-1-4-3-DR.jpg
2020,Mercedes Benze,GLA SUV,PERFORMANCE,Turbo power. Two liters of pure energy.,"With 208 turbocharged horsepower, the GLA 250 quenches your thirst for performance with a minimal appetite for fuel. Advanced Direct Injection and multispark ignition self-tune on the fly, to keep your enthusiasm at full boost.",https://www.mbusa.com/content/dam/mb-nafta/us/myco/my20/gla/class-page/non-amg/2020-GLA-SUV-CL-2-2-DR.jpg
2020,Mercedes Benze,GLA SUV,PERFORMANCE,Power at your feet. And your fingertips.,The 7G-DCT transmission's offers the smooth refinement of an automatic with sporty reflexes. Its dual-clutch design shifts faster than a human can. While its shift paddles let you take charge of its seven speeds anytime.,https://www.mbusa.com/content/dam/mb-nafta/us/myco/my20/gla/class-page/non-amg/2020-GLA-SUV-CR-2-3-DR.jpg
2020,Mercedes Benze,GLA SUV,PERFORMANCE,Torque follows traction. Turns grip into go.,"Available variable-torque 4MATICÂ® all-wheel drive can sense the very onset of wheel slip, and instantly reapportion up to 50% of the engine's power to the rear wheels on demand. An Off-Road mode makes the GLA even more capable.[3][4]",https://www.mbusa.com/content/dam/mb-nafta/us/myco/my20/gla/class-page/non-amg/2020-GLA-SUV-CR-2-3-DR.jpg
2020,Mercedes Benze,GLA SUV,INNOVATION,Big-screen entertainment. Starting with a bigger screen.,"The vivid 8-inch color display is not only large, it also brings you a wide range of ways to stay entertained and informed. From BluetoothÂ® audio streaming to available Apple CarPlayâ„¢ and Android Auto, your GLA has your ears covered. [5][6]",https://www.mbusa.com/content/dam/mb-nafta/us/myco/my20/gla/class-page/non-amg/2020-GLA-SUV-CL-3-2-DR.gif
2020,Mercedes Benze,GLA SUV,INNOVATION,Multiple modes. For your many driving moods.,"DYNAMIC SELECT dials in the GLA's performance character with the tap of a console button. Throttle, shifting and more sharpen in Sport mode, ease up in ECO, keep calm in Comfort. There's even a mode you can set up yourself.",https://www.mbusa.com/content/dam/mb-nafta/us/myco/my20/gla/class-page/non-amg/2020-GLA-SUV-CR-3-3-DR.jpg
2020,Mercedes Benze,GLA SUV,INNOVATION,See better by night. Look better by day.,"Available LED headlamps flood the road ahead with light that's brighter, whiter and more like natural daylight. Arching white LED Daytime Running Lamps and LED taillamps with ""Stardust"" technology earn admiring glances coming and going.",https://www.mbusa.com/content/dam/mb-nafta/us/myco/my20/gla/class-page/non-amg/2020-GLA-SUV-CT-3-4-DR.gif
2020,Mercedes Benze,GLA SUV,INNOVATION,Helpful connections. To set you free.,"From the everyday to the unexpected, Mercedes me connect helps ease your way. You can control vehicle features from your smartphone. Get help in an emergency. Set up a service appointment. And more, all at no charge for three years, or even longer for many services. You can also add unlimited-data WiFi for a low monthly rate. [7][8]",https://www.mbusa.com/content/dam/mb-nafta/us/myco/my20/gla/class-page/non-amg/2020-GLA-SUV-CL-3-5-DR.jpg
