YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2020,Nissan,Versa®,technology,NISSANCONNECT®,"Seamlessly connect to your compatible smartphone, and your world. You can even use your steering wheel controls to adjust volume and toggle through screens, while plenty of USB ports keep all your devices fully charged. [[1189]]",https://nissanusa.com/content/dam/Nissan/global/vehicles/sunny_versa_sedan_latio_almera/n18/features/2020-versa-connectivity-20tdigbpace402.jpg.ximg.l_8_m.smart.jpg
2020,Nissan,Versa®,technology,Apple CarPlay®,"People to see? Places to be? Just ask Siri®. Equipped with Siri® voice control, Apple CarPlay® brings on board to your Versa your contacts, favorite messaging apps, iTunes® library, Apple Music® playlists, Apple Maps, and more. Simply plug in your compatible iPhone® and go. [[1189]]",https://nissanusa.com/content/dam/Nissan/global/vehicles/sunny_versa_sedan_latio_almera/n18/features/2020-versa-apple-carplay-20tdigbpace403.jpg.ximg.l_12_m.smart.jpg
2020,Nissan,Versa®,technology,Android Auto™,"Know where you’re going and when with Android Auto for your Versa. Google Maps™ helps you navigate to your next appointment, while Google Assistant keeps you on top of your schedule. Choose a song, change your destination, or respond to a text with your hands on the wheel using the hundreds of available voice commands. [[1189]][[115]]",https://nissanusa.com/content/dam/Nissan/global/vehicles/sunny_versa_sedan_latio_almera/n18/features/2020-versa-android-auto-20tdigbpace404.jpg.ximg.l_12_m.smart.jpg
2020,Nissan,Versa®,technology,Advanced Drive-Assist® Display,The available full-color display can be customized to show everything from your tachometer (shown here) to playlists to fuel economy history. Just scroll to the info you want with the buttons on the steering wheel. [[11]][[12]],https://nissanusa.com/content/dam/Nissan/global/vehicles/sunny_versa_sedan_latio_almera/n18/features/2020-versa-customizable-gauges-20tdigbpace405.jpg.ximg.l_8_m.smart.jpg
2020,Nissan,Versa®,technology,Safety Alerts,Alerts from advanced safety features like available Blind Spot Warning are displayed right here. [[1123]],https://nissanusa.com/content/dam/Nissan/global/vehicles/sunny_versa_sedan_latio_almera/n18/features/2020-versa-customizable-gauges-20tdigbpace408.jpg.ximg.l_8_m.smart.jpg
2020,Nissan,Versa®,technology,Bluetooth® Audio,"Bluetooth® audio lets you stream your favorite music from your compatible smartphone, while displaying the track information directly in front of you. [[1189]][[115]]",https://nissanusa.com/content/dam/Nissan/global/vehicles/sunny_versa_sedan_latio_almera/n18/features/2020-versa-customizable-gauges-20tdigbpace406.jpg.ximg.l_8_m.smart.jpg
2020,Nissan,Versa®,technology,Fuel Economy,"Keep tabs on your fuel efficiency while you drive. From current mpg to average mpg to informative graphs, you'll always know how efficiently you're driving. [[1327]]",https://nissanusa.com/content/dam/Nissan/global/vehicles/sunny_versa_sedan_latio_almera/n18/features/2020-versa-customizable-gauges-20tdigbpace408%20.jpg.ximg.l_8_m.smart.jpg
2020,Nissan,Versa®,comfort,Automatic Temperature Control,The available Automatic Temperature Control system features an intuitive control unit that lets you dial in your perfect temperature. Cold morning? The available heated front seats will warm you up quickly.,https://nissanusa.com/content/dam/Nissan/global/vehicles/sunny_versa_sedan_latio_almera/n18/features/2020-versa-climate-control-20tdigbpace411.jpg.ximg.l_8_m.smart.jpg
2020,Nissan,Versa®,comfort,Remote Start,"No matter what the temperature, the available Remote Engine Start System helps make sure you always get into a comfortable car. [[97]] And once you’re ready to go, keyless entry makes getting in easier than ever.",https://nissanusa.com/content/dam/Nissan/global/vehicles/sunny_versa_sedan_latio_almera/n18/features/2020-versa-remote-start-20tdigbpace412.jpg.ximg.l_4_m.smart.jpg
2020,Nissan,Versa®,comfort,Rear Door Alert,Never forget something in the back seat again with the available Rear Door Alert system. [[1240]] It gives you a visual and audible alert to remind you to check the rear seat.,https://nissanusa.com/content/dam/Nissan/global/vehicles/sunny_versa_sedan_latio_almera/n18/features/2020-versa-rear-door-alert-20tdigbpace413.jpg.ximg.l_4_m.smart.jpg
