YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2020,Subaru,Impreza,Engineered to Last,152-hp Direct-Injection SUBARU BOXER® Engine,"Drawn from more than 50 years of intelligent performance, the unique SUBARU BOXER® engine has pistons that move side to side, canceling out each other's vibrations so it can run more smoothly and efficiently. This horizontal layout also offers better balance while delivering a maximum transfer of power. It also features direct injection for improved performance and fuel economy.
Standard on: All models",https://www.subaru.com/content/dam/subaru/vehicles/2020/IMP/vsp/features/1920/20_IMP_Feature_12.jpg
2020,Subaru,Impreza,Engineered to Last,High-Strength Steel Body Structure,"The 2020 Impreza is built on the Subaru Global Platform, using extensive high-strength steel for long-lasting quality. With great durability, rigidity, and vibration resistance for a quieter and smoother ride, the Global Platform is designed to provide confidence for years to come.
Standard on: All models",https://www.subaru.com/content/dam/subaru/vehicles/2020/IMP/vsp/features/1920/20_IMP_Feature_02.jpg
2020,Subaru,Impreza,Advanced Safety,SUBARU STARLINK® Safety and Security,"The latest STARLINK®  Safety and Security system features include Advanced Automatic Collision Notification to alert first responders when an airbag deploys, and SOS Emergency Assistance to lend a hand when you encounter trouble on the road. Remote Engine Start with Climate Control, accessible via your smartphone, ensures your Impreza is ready and comfortable.There’s also STARLINK®  Concierge service for personal assistance with tasks like navigation, restaurant reservations, and scheduling service appointments.
Standard on: Premium, Sport, Limited
Learn more about SUBARU STARLINK® Safety and Security",https://www.subaru.com/content/dam/subaru/vehicles/2020/IMP/vsp/features/1920/20_IMP_Feature_03.jpg
2020,Subaru,Impreza,Advanced Safety,Blind-Spot Detection and Rear Cross-Traffic Alert,"Using radar sensors, the Blind-Spot Detection system warns you with a visual indicator on each side mirror if it senses a vehicle in your blind spots. Rear Cross-Traffic Alert can help warn you of traffic approaching from the side as you are backing up, using an audible warning and flashing visual indicator in your side mirrors and Rear-Vision Camera display.
Available on: Premium, Sport
Standard on: Limited",https://www.subaru.com/content/dam/subaru/vehicles/2020/IMP/vsp/features/1920/20_IMP_Feature_04.jpg
2020,Subaru,Impreza,Advanced Safety,Rear-Vision Camera and Reverse Automatic Braking,"A standard Rear-Vision Camera enhances rear visibility when backing up. Its display includes guidelines to help you see the vehicle's path and judge distances to other objects.
And with available Reverse Automatic Braking, the Impreza can detect objects behind you and automatically stop the vehicle, helping to keep you and your family safe when backing up.
Rear-Vision Camera standard on: All models
Reverse Automatic Braking standard on: Limited",https://www.subaru.com/content/dam/subaru/vehicles/2020/IMP/vsp/features/1920/20_IMP_Feature_05.jpg
2020,Subaru,Impreza,Equipped for Versatility,SUBARU STARLINK® Multimedia,"A STARLINK®  Multimedia system with Apple CarPlay® and Android Auto™ integration comes standard on the 2020 Impreza. Wireless pairing and hands-free smartphone operation allow for safe and easy connection to your favorite apps and content. You can access news, navigation, music, podcasts, and more through available STARLINK®  apps. A built-in and voice-activated navigation system powered by TomTom® is available, as well as an 8-inch touchscreen.
Learn more about SUBARU STARLINK®  Multimedia",https://www.subaru.com/content/dam/subaru/vehicles/2020/IMP/vsp/features/1920/20_IMP_Feature_07.jpg
2020,Subaru,Impreza,Equipped for Versatility,"Right-Sized, High-Quality, Comfortable Interior","The Impreza features a refined, spacious interior with high-quality soft-touch materials and plenty of room for passenger comfort. Combined with the large cargo area and wide rear gate opening on 5-door models, the Impreza is prepared for almost any adventure.",https://www.subaru.com/content/dam/subaru/vehicles/2020/IMP/vsp/features/1920/20_IMP_Feature_08.jpg
2020,Subaru,Impreza,Equipped for Versatility,Sedan and 5-Door Body Styles,Everyone’s journey is different. That’s why the Impreza gives you the choice between a stylish sedan and a sporty 5-door.,https://www.subaru.com/content/dam/subaru/vehicles/2020/IMP/vsp/features/1920/20_IMP_Feature_09.jpg
2020,Subaru,Impreza,Equipped for Versatility,Harman Kardon® Premium Audio,"The Harman Kardon premium audio system captures detail-rich acoustics through enhanced sound control and superior high sound output. At the heart of the system lies a high-performance 8-Channel, class-D amplifier pumping out 432 equivalent watts of power. The amplifier works to efficiently distribute clean audio signals to the vehicle’s 8-speaker sound system — including a dedicated center channel speaker and subwoofer. Harman’s Clari-Fi Technology restores and corrects audio fidelity, resulting in musical reproduction that sounds clearer, crisper, and more dynamic.
Available on: Sport, Limited",https://www.subaru.com/content/dam/subaru/vehicles/2020/IMP/vsp/features/1920/20_IMP_Feature_10.jpg
2020,Subaru,Legacy,All-New Touring XT Model,Direct injection-turbocharged SUBARU BOXER® Engine,The Touring XT is powered by a 260-horsepower direct-injection turbocharged SUBARU BOXER engine for extra power and exhilarating performance while still delivering up to 32 MPG and nearly 600 miles of range.,https://www.subaru.com/content/dam/subaru/vehicles/2020/LEG/vsp/features/1920/20_LEG_Feature_17.jpg
2020,Subaru,Legacy,All-New Touring XT Model,Nappa Leather,"The Touring XT interior features genuine Nappa leather upholstery, enveloping you and your passengers with soft, comfortable accommodations and warm, refined style.",https://www.subaru.com/content/dam/subaru/vehicles/2020/LEG/vsp/features/1920/20_LEG_Feature_20.jpg
2020,Subaru,Legacy,All-New Touring XT Model,Heated Steering Wheel,"The Touring XT steering wheel is heated for a warm, comfortable grip during winter driving.",https://www.subaru.com/content/dam/subaru/vehicles/2020/LEG/vsp/features/1920/20_LEG_Feature_19.jpg
