YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2020,Toyota,YARIS,Performance,Efficient performance,"The direct-injection 1.5-liter engine on Yaris offers efficient performance with plenty of pep. When paired with the available 6-speed automatic transmission, it offers an EPA-estimated 40 mpg highway and 32 city mpg,  while the 6-speed manual is estimated at 39 highway and 30 city mpg.  Either way, Yaris happily delivers the right combination of efficiency and fun.",https://toyota.com/imgix/responsive/images/features/2020/yaris/YAS_MY19_0035_V001.png?w=870&dpr=1&q=80&fm=webp&lossless=false&fit=max&cs=strip&bg=fff&auto=compress& 870w
2020,Toyota,YARIS,Performance,Automatic transmission with Sport Mode,Add a sportier feel to your drive with the flip of a switch. Opt for the available 6-speed automatic with Sport Mode.,https://toyota.com/imgix/responsive/images/features/2020/yaris/YAS_MY19_0025_V001.png?w=870&dpr=1&q=80&fm=webp&lossless=false&fit=max&cs=strip&bg=fff&auto=compress& 870w
2020,Toyota,YARIS,Performance,Suspension with a purpose,Find more excitement around every corner. Yaris features a MacPherson strut front suspension and a torsion beam rear suspension that offer more than just good looks. They're tuned to deliver a smooth ride and agile handling.,https://toyota.com/imgix/responsive/images/features/2020/yaris/TYZJ5312000H.jpg?w=870&dpr=1&q=80&fm=webp&lossless=false&fit=max&cs=strip&bg=fff&auto=compress& 870w
2020,Toyota,YARIS,Performance,6-speed manual,"Good times come in different forms. The standard 6-speed manual transmission features a short throw for quick, smooth gear changes.",https://toyota.com/imgix/responsive/images/features/2020/yaris/YAS_MY19_0050_V001.png?w=870&dpr=1&q=80&fm=webp&lossless=false&fit=max&cs=strip&bg=fff&auto=compress& 870w
2020,Toyota,YARIS,Technology,Standard 7-in. touch-screen multimedia system,"With the standard 7-in. touch-screen multimedia system that has both Apple CarPlay®  compatibility, shown above, and Android Auto™,  Yaris will become your inseparable sidekick. Interact directly with the touch-sensitive screen or opt for the control knob located between the front seats. It also features voice recognition  and Bluetooth®  connectivity for hands-free  access to your phone.",https://toyota.com/imgix/responsive/images/features/2020/yaris/YAS_MY19_0003_V003.png?w=870&dpr=1&q=80&fm=webp&lossless=false&fit=max&cs=strip&bg=fff&auto=compress& 870w
2020,Toyota,YARIS,Technology,Smart Key System with Push Button Start,"Standard on LE and XLE trims, the Smart Key System  lets you lock or unlock your doors just by touching the handle, while Push Button Start engages the ignition through the ""ENGINE START/STOP"" button—all while your Smart Key fob stays safely and conveniently inside your pocket or bag.",https://toyota.com/imgix/responsive/images/features/2020/yaris/YAS_MY19_0061_V001.png?w=870&dpr=1&q=80&fm=webp&lossless=false&fit=max&cs=strip&bg=fff&auto=compress& 870w
2020,Toyota,YARIS,Technology,Standard SiriusXM®,"Discover a new theme song for each adventure with SiriusXM®,  standard on all grades.",https://toyota.com/imgix/responsive/images/features/2020/yaris/YAS_MY19_0047_V001.png?w=870&dpr=1&q=80&fm=webp&lossless=false&fit=max&cs=strip&bg=fff&auto=compress& 870w
2020,Toyota,YARIS,Technology,Two USB ports with MP3 connectivity,"Make every drive instantly better with your very own soundtrack. Just plug your device into one of the two standard USB ports  for easy access to your music, or stream your music wirelessly  through Bluetooth® wireless technology.  These handy ports also help keep your gadgets charged up and ready for whatever lies ahead.",https://toyota.com/imgix/responsive/images/features/2020/yaris/YAS_MY19_0029_V001.png?w=870&dpr=1&q=80&fm=webp&lossless=false&fit=max&cs=strip&bg=fff&auto=compress& 870w
2020,Toyota,YARIS,Technology,Automatic climate control,"Set it and forget it. With Yaris XLE’s standard automatic climate control, it’s easy to dial in the perfect cabin temperature. Just select your desired temperature, and Yaris will always keep the interior feeling just right.",https://toyota.com/imgix/responsive/images/features/2020/yaris/YAS_MY19_0005_V001.png?w=870&dpr=1&q=80&fm=webp&lossless=false&fit=max&cs=strip&bg=fff&auto=compress& 870w
2020,Toyota,YARIS,Technology,Steering wheel-mounted controls,"By taking the wheel, you’re taking full control of the tunes. The standard steering wheel-mounted audio controls are within a finger’s reach, letting you change the music without skipping a beat.",https://toyota.com/imgix/responsive/images/features/2020/yaris/YAS_MY19_0027_V001.png?w=870&dpr=1&q=80&fm=webp&lossless=false&fit=max&cs=strip&bg=fff&auto=compress& 870w
