YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2019,BUICK,ENCORE,EXTERIOR,EXPLORE WHEEL CHOICES,Each Encore trim package comes with its own unique wheels and distinctive style.  Discover which wheel design meets your unique taste.,/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/exterior/01-images/2019-encore-feat-ext-wheel-choices-c-19BUER00086.jpg?imwidth=960
2019,BUICK,ENCORE,EXTERIOR,POWER MOONROOF,"The available expansive power moonroof on the 2019 Encore small luxury SUV takes passengers from their seats to breathtaking views, with just a press of a button.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/exterior/01-images/2019-encore-feat-ext-power-moonroof-19BUER00043.jpg?imwidth=960
2019,BUICK,ENCORE,EXTERIOR,PREMIUM LED LIGHTING,"The LED daytime running lamps feature a unique lighting pattern that’s a Buick design signature, while its standard LED-accented taillamps reflect its unique sporty personality.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/exterior/01-images/2019-encore-feat-ext-led-lighting-19BUER00020.jpg?imwidth=960
2019,BUICK,ENCORE,EXTERIOR,SPORT EXHAUST TIP,The distinctive flourish of Encore's standard stainless steel exhaust tip contributes to its athletic exterior style.,/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/exterior/01-images/2019-encore-feat-ext-exhaust-tip-19BUER00032.jpg?imwidth=960
2019,BUICK,ENCORE,INTERIOR,HEATED STEERING WHEEL,Experience an extra layer of warmth and luxury with Encore's available leather-wrapped heated steering wheel.,/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/interior/01-images/2019-encore-feat-int-heated-steering-19BUER00057.jpg?imwidth=960
2019,BUICK,ENCORE,INTERIOR,HEATED FRONT SEATS,Combat cooler temperatures with the soothing warmth of the available heated driver and front-passenger leather seats.,/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/interior/01-images/2019-encore-feat-int-seating-19BUER00081.jpg?imwidth=960
2019,BUICK,ENCORE,INTERIOR,KEYLESS OPEN AND PUSH-BUTTON START,"With Keyless Open and Push-Button Start, you can unlock your doors and start your Encore without your keys leaving your side. And with available Remote Vehicle Start on the myBuick app†, you can warm up or cool down your Encore SUV before you even step inside.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/interior/01-images/2019-encore-feat-int-push-button-19BUER00023.jpg?imwidth=960
2019,BUICK,ENCORE,INTERIOR,FLEXIBLE CARGO SPACE,"With fold-flat front-passenger and folding second-row seats, the Encore small SUV provides the flexibility to accommodate your everyday life.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/interior/01-images/2019-encore-feat-int-cargo-19BUER00019.jpg?imwidth=960
2019,BUICK,ENCORE,INTERIOR,QUIETTUNING TECHNOLOGY,"QuietTuningTM technology with Active Noise Cancellation creates a hushed interior by utilizing its triple door seals, acoustic laminated windshield and front side window glass to reduce, block and absorb outside noises.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/interior/01-images/2019-encore-feat-int-quiettuning-19BUER00108.jpg?imwidth=960
2019,BUICK,ENCORE,INTERIOR,CLIMATE CONTROL AND IN-VEHICLE AIR IONIZER,The available dual-zone climate controls allow passengers to personalize their preferred temperatures. And the available in-vehicle ionization system leaves the air cleaner and fresher inside your Encore.,/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/interior/01-images/2019-encore-feat-int-air-ionizer-19BUER00033.jpg?imwidth=960
2019,BUICK,ENCORE,SAFETY,SIDE BLIND ZONE ALERT,Available Side Blind Zone Alert provides side-mirror notifications to help you avoid a moving vehicle detected in your blind zone during a lane-change maneuver.,/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/safety/01-images/2019-encore-feat-safe-blind-zone-alert-19BUER00031.jpg?imwidth=960
2019,BUICK,ENCORE,SAFETY,FORWARD COLLISION ALERT,"If the available Forward Collision Alert detects that a front-end collision situation is imminent while following a detected vehicle, the system alerts you to a potential crash. It also alerts you if you are following a detected vehicle much too closely.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/safety/01-images/2019-encore-feat-safe-forward-collision-alert-19BUER00024.jpg?imwidth=960
2019,BUICK,ENCORE,SAFETY,LANE DEPARTURE WARNING,Available Lane Departure Warning provides alerts to help you avoid crashes due to unintentionally drifting out of your lane when your turn signal is not activated.,/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/safety/01-images/2019-encore-feat-safe-lane-departure-19BUER00087.jpg?imwidth=960
2019,BUICK,ENCORE,SAFETY,ONSTAR SAFETY AND SECURITY,"With available OnStar® by your side, you’ll feel confident and ready for the road ahead with available features such as Automatic Crash Response†, Emergency Services and Roadside Assistance†.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/safety/01-images/2019-encore-feat-safe-onstar-19BUER00017.jpg?imwidth=960
2019,BUICK,ENCORE,SAFETY,REAR CROSS TRAFFIC ALERT,"When in Reverse, available Rear Cross Traffic Alert provides alerts to help you avoid approaching detected left-or right-cross traffic (e.g., out of a crowded parking space or driveway with side obstructions).",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/safety/01-images/2019-encore-feat-safe-rear-cross-traffic-19BUER00028.jpg?imwidth=960
2019,BUICK,ENCORE,SAFETY,REAR VISION CAMERA WITH AVAILABLE REAR PARK ASSIST,"The Rear Vision Camera helps you back up with confidence by projecting what’s behind you with guidelines on the color touch-screen, located in the center display.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/safety/01-images/2019-encore-feat-safe-rear-vision-19BUER00028.jpg?imwidth=960
2019,BUICK,ENCORE,CONNECTIVITY,BUICK INFOTAINMENT SYSTEM,"The Buick Infotainment System† allows you to make hands-free calls, access your favorite SiriusXM† Satellite Radio stations and more. Plus, you can travel confidently with available built-in Navigation,† all through the available high-resolution 8"" diagonal color touch-screen.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/connectivity/01-images/2019-encore-conn-infotainment-system-19BUER00025.jpg?imwidth=960
2019,BUICK,ENCORE,CONNECTIVITY,APPLE CARPLAYTM COMPATIBILITY,"Plug in your compatible iPhone® to Apple CarPlayTM† and have easy access to your music and maps, and be able to make phone calls, send messages and more—all through your vehicle’s touch-screen or with your voice through Siri.®",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/connectivity/02-images/2019-encore-feat-conn-apple-carplay-19BUER00027.jpg?imwidth=960
2019,BUICK,ENCORE,CONNECTIVITY,ANDROID AUTOTM COMPATIBILITY,"Android AutoTM† seamlessly connects your compatible smartphone to access your favorite apps, text messages and music. And with hands-free, voice-activated technology, you can keep your world moving while you're on the move.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/connectivity/02-images/2019-encore-feat-conn-android-auto-19BUER00096.jpg?imwidth=960
2019,BUICK,ENCORE,CONNECTIVITY,BUILT-IN 4G LTE WI-FI HOTSPOT,"Stay connected to your world, even when you’re on the go, with your vehicle’s available built-in 4G LTE Wi-Fi® hotspot†. It offers a fast and reliable connection and supports up to seven devices so your passengers can stream, surf and post their way at 4G LTE speed.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/connectivity/01-images/2019-encore-feat-conn-wifi-19BUER00055.jpg?imwidth=960
2019,BUICK,ENCORE,CONNECTIVITY,NAVIGATION,"Access real-time traffic data, get directions or save favorite routes and destinations with Encore's available built in Navigation† System.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/connectivity/01-images/2019-encore-feat-conn-navigation-19BUER00029.jpg?imwidth=960
2019,BUICK,ENCORE,CONNECTIVITY,MYBUICK APP,"The available myBuick app† lets you perform a number of vehicle functions right from your mobile device. Remotely start and stop† your engine, lock and unlock your doors, check your tire pressure† and get real-time diagnostics from almost anywhere.",/content/dam/buick/na/us/en/index/vehicles/2019/crossovers-suvs/encore/features/connectivity/02-images/2019-encore-feat-conn-mybuick-app-19BUER00014.jpg?imwidth=960
