YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2020,Chevrolet,Spark,DESIGN,Some cars have all the fun,"With Spark, every ride puts a big smile on your face. Choose from vibrant shades like Caribbean Blue,† Orange Burst,† Raspberry and Passion Fruit. And with an EPA-estimated 30 MPG city/38 MPG highway†, this ride is as efficient as it is fun to drive.",https://chevrolet.com/content/dam/chevrolet/na/us/english/index/vehicles/2020/cars/spark/mov/01-images/2020-spark-design-01.jpg?imwidth=960
2020,Chevrolet,Spark,DESIGN,Some cars have all the fun,"With Spark, every ride puts a big smile on your face. Choose from vibrant shades like Caribbean Blue,† Orange Burst,† Raspberry and Passion Fruit. And with an EPA-estimated 30 MPG city/38 MPG highway†, this ride is as efficient as it is fun to drive.",https://chevrolet.com/content/dam/chevrolet/na/us/english/index/vehicles/2020/cars/spark/mov/01-images/2020-spark-design-01.jpg?imwidth=960
2020,Chevrolet,Spark,DESIGN,Get the ACTIV look,Spark ACTIV features special front and rear bumpers and a raised suspension for a sportier look. It’s the perfect compact car for anyone who isn’t afraid to stand out.,https://chevrolet.com/content/dam/chevrolet/na/us/english/index/vehicles/2020/cars/spark/mov/01-images/2020-spark-design-04.jpg?imwidth=960
2020,Chevrolet,Spark,DESIGN,Get the ACTIV look,Spark ACTIV features special front and rear bumpers and a raised suspension for a sportier look. It’s the perfect compact car for anyone who isn’t afraid to stand out.,https://chevrolet.com/content/dam/chevrolet/na/us/english/index/vehicles/2020/cars/spark/mov/01-images/2020-spark-design-04.jpg?imwidth=960
2020,Chevrolet,Spark,DESIGN,SAFETY,"So how does this compact car help you stay confident behind the wheel? With 10 standard airbags†, a high-strength steel safety cage and a lot of available advanced safety features. All can help you have a safe drive whenever you hit the road.",https://chevrolet.com/content/dam/chevrolet/na/us/english/index/vehicles/2020/cars/spark/mov/01-images/2020-spark-safety-01.jpg?imwidth=960
2020,Chevrolet,Spark,SAFETY,Backing up your power moves,"So how does this compact car help you stay confident behind the wheel? With 10 standard airbags†, a high-strength steel safety cage and a lot of available advanced safety features. All can help you have a safe drive whenever you hit the road.",https://chevrolet.com/content/dam/chevrolet/na/us/english/index/vehicles/2020/cars/spark/mov/01-images/2020-spark-safety-01.jpg?imwidth=960
2020,Chevrolet,Spark,SAFETY,Backing up your power moves,"So how does this compact car help you stay confident behind the wheel? With 10 standard airbags†, a high-strength steel safety cage and a lot of available advanced safety features. All can help you have a safe drive whenever you hit the road.",https://chevrolet.com/content/dam/chevrolet/na/us/english/index/vehicles/2020/cars/spark/mov/01-images/2020-spark-safety-01.jpg?imwidth=960
2020,Chevrolet,Spark,SAFETY,Available Automatic Emergency Braking,"When traveling at speeds less than 37 MPH, the system can alert you if it detects that a front-end collision situation is imminent with a vehicle ahead you are following
It can also potentially help reduce the collision's severity by automatically applying hard emergency braking if you have not already or by enhancing driver hard braking
The system may even help avoid the collision at very low speeds",https://chevrolet.com/content/dam/chevrolet/na/us/english/index/shared-assets/safety/forward-automatic-braking.jpg
2020,Chevrolet,Spark,SAFETY,Available Automatic Emergency Braking,"When traveling at speeds less than 37 MPH, the system can alert you if it detects that a front-end collision situation is imminent with a vehicle ahead you are following
It can also potentially help reduce the collision's severity by automatically applying hard emergency braking if you have not already or by enhancing driver hard braking
The system may even help avoid the collision at very low speeds",https://chevrolet.com/content/dam/chevrolet/na/us/english/index/shared-assets/safety/forward-automatic-braking.jpg
2020,Chevrolet,Spark,SAFETY,Available Forward Collision Alert,"Can alert you when it detects that a front-end collision is imminent with a vehicle that you are following




Also can alert you if you are following a detected vehicle much too closely",https://chevrolet.com/content/dam/chevrolet/na/us/english/index/shared-assets/safety/forward-collision-alert.jpg
