YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2020,Chrysler,Pacifica,Overview,MOST AWARDED MINIVAN THREE YEARS IN A ROW,"We like to have fun, even when it comes to crushing the competition. See all the ways the Chrysler Pacifica is outshining and outclassing its competitors.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,TOP SAFETY PICK,"We like to have fun, even when it comes to crushing the competition. See all the ways the Chrysler Pacifica is outshining and outclassing its competitors.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,A BEST BUY,"We like to have fun, even when it comes to crushing the competition. See all the ways the Chrysler Pacifica is outshining and outclassing its competitors.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,FAMILY CAR OF THE YEAR,"We like to have fun, even when it comes to crushing the competition. See all the ways the Chrysler Pacifica is outshining and outclassing its competitors.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,A CONSUMER GUIDE® BEST BUY AWARD WINNER,"We like to have fun, even when it comes to crushing the competition. See all the ways the Chrysler Pacifica is outshining and outclassing its competitors.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,GALLERY,"We like to have fun, even when it comes to crushing the competition. See all the ways the Chrysler Pacifica is outshining and outclassing its competitors.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,STREET SMARTS,"We like to have fun, even when it comes to crushing the competition. See all the ways the Chrysler Pacifica is outshining and outclassing its competitors.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,THE BEST OF BOTH WORLDS,"Never compromise. Get an outstanding 82 MPGe rating and seating for seven with the Chrysler Pacifica Hybrid, America’s first-ever hybrid minivan.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,CHARGE AT HOME FASTER WITH AMAZON,We’ve teamed up with Amazon to make installing a faster charger more convenient. Upgrade to an available Level II charger and then schedule a professional home installation online with a licensed electrician.,https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,CHARGE AT HOME FASTER WITH AMAZON,We’ve teamed up with Amazon to make installing a faster charger more convenient. Upgrade to an available Level II charger and then schedule a professional home installation online with a licensed electrician.,https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,CHARGE AT HOME FASTER WITH AMAZON,We’ve teamed up with Amazon to make installing a faster charger more convenient. Upgrade to an available Level II charger and then schedule a professional home installation online with a licensed electrician.,https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,SAFETY FIRST,"An IIHS Top Safety Pick for 2019 when equipped with optional front crash prevention and specific headlamps, the Chrysler Pacifica is packed with safety and security features that’ll give you greater peace of mind no matter where the road takes you.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,AVAILABLE FULL-SPEED FORWARD COLLISION WARNING WITH ACTIVE BRAKING,"Featuring an available 8.4-inch Uconnect® touchscreen with access to Apple CarPlay® support and Android Auto™ integration so you can make calls, send and receive messages and get directions. Plus, get access to integrated Voice Command, Bluetooth® Streaming Audio, SiriusXM® and more.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,BLIND SPOT MONITORING SYSTEM,"Featuring an available 8.4-inch Uconnect® touchscreen with access to Apple CarPlay® support and Android Auto™ integration so you can make calls, send and receive messages and get directions. Plus, get access to integrated Voice Command, Bluetooth® Streaming Audio, SiriusXM® and more.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,AVAILABLE ADAPTIVE CRUISE CONTROL WITH STOP AND GO,"Featuring an available 8.4-inch Uconnect® touchscreen with access to Apple CarPlay® support and Android Auto™ integration so you can make calls, send and receive messages and get directions. Plus, get access to integrated Voice Command, Bluetooth® Streaming Audio, SiriusXM® and more.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,AVAILABLE 360° SURROUND VIEW CAMERA,"Featuring an available 8.4-inch Uconnect® touchscreen with access to Apple CarPlay® support and Android Auto™ integration so you can make calls, send and receive messages and get directions. Plus, get access to integrated Voice Command, Bluetooth® Streaming Audio, SiriusXM® and more.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,NEXT-GEN TECH,"Featuring an available 8.4-inch Uconnect® touchscreen with access to Apple CarPlay® support and Android Auto™ integration so you can make calls, send and receive messages and get directions. Plus, get access to integrated Voice Command, Bluetooth® Streaming Audio, SiriusXM® and more.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,MOST ADVANCED ENTERTAINMENT SYSTEM IN ITS CLASS,"The fun never stops when you’re in a Chrysler Pacifica. With the available Class-Exclusive Uconnect® Theater, you get dual 10-inch HD touchscreens with a Blu-ray™ player, dual HDMI inputs, wireless headphones, wireless streaming (not compatible with Apple® devices), Bluetooth® remotes and built-in games and apps.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,MOST ADVANCED ENTERTAINMENT SYSTEM IN ITS CLASS,"The fun never stops when you’re in a Chrysler Pacifica. With the available Class-Exclusive Uconnect® Theater, you get dual 10-inch HD touchscreens with a Blu-ray™ player, dual HDMI inputs, wireless headphones, wireless streaming (not compatible with Apple® devices), Bluetooth® remotes and built-in games and apps.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,MOST ADVANCED ENTERTAINMENT SYSTEM IN ITS CLASS,"The fun never stops when you’re in a Chrysler Pacifica. With the available Class-Exclusive Uconnect® Theater, you get dual 10-inch HD touchscreens with a Blu-ray™ player, dual HDMI inputs, wireless headphones, wireless streaming (not compatible with Apple® devices), Bluetooth® remotes and built-in games and apps.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,LOOKS TO BEHOLD,"With its sleek design and family-friendly functionality, the exterior of the Chrysler Pacifica is a dual threat.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,LOOKS TO BEHOLD,"With its sleek design and family-friendly functionality, the exterior of the Chrysler Pacifica is a dual threat.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,LOOKS TO BEHOLD,"With its sleek design and family-friendly functionality, the exterior of the Chrysler Pacifica is a dual threat.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,AVAILABLE HANDS-FREE POWER LIFTGATE AND HANDS-FREE POWER SLIDING SIDE DOORS,You won’t find these features on any other minivan. Simply swing your foot under the sliding side doors or liftgate and they’ll open automatically.,https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,AVAILABLE HANDS-FREE POWER LIFTGATE AND HANDS-FREE POWER SLIDING SIDE DOORS,You won’t find these features on any other minivan. Simply swing your foot under the sliding side doors or liftgate and they’ll open automatically.,https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,AVAILABLE HANDS-FREE POWER LIFTGATE AND HANDS-FREE POWER SLIDING SIDE DOORS,You won’t find these features on any other minivan. Simply swing your foot under the sliding side doors or liftgate and they’ll open automatically.,https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,AVAILABLE TRI-PANE PANORAMIC SUNROOF,"With an unsurpassed highway fuel economy rating of up to 28 mpg, the Chrysler Pacifica is built for the long haul.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,INCREDIBLE INTERIOR,"With an unsurpassed highway fuel economy rating of up to 28 mpg, the Chrysler Pacifica is built for the long haul.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,Class-Exclusive Available Stow ’n Go® Seating and Storage System,"With an unsurpassed highway fuel economy rating of up to 28 mpg, the Chrysler Pacifica is built for the long haul.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,AVAILABLE STOW 'N VAC® POWERED BY RIDGID®,"With an unsurpassed highway fuel economy rating of up to 28 mpg, the Chrysler Pacifica is built for the long haul.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,Class-Exclusive Available Easy Tilt Seating,"With an unsurpassed highway fuel economy rating of up to 28 mpg, the Chrysler Pacifica is built for the long haul.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,DESIGNED TO PERFORM,"With an unsurpassed highway fuel economy rating of up to 28 mpg, the Chrysler Pacifica is built for the long haul.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,DESIGNED TO PERFORM,"With an unsurpassed highway fuel economy rating of up to 28 mpg, the Chrysler Pacifica is built for the long haul.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,DESIGNED TO PERFORM,"With an unsurpassed highway fuel economy rating of up to 28 mpg, the Chrysler Pacifica is built for the long haul.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,S APPEARANCE PACKAGE,"With exclusive black interior details and exterior black accents throughout, the available S Appearance Package is dressed to impress.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,RED S EDITION,"Unleash the Chrysler Pacifica with the new available Red S Edition. Get Rodéo red and black Nappa leather-trim seats, 20-inch black noise wheels, one-of-a-kind badging including a red insert on the wing badge and the Red S badge on the liftgate, plus more.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,RED S EDITION,"Unleash the Chrysler Pacifica with the new available Red S Edition. Get Rodéo red and black Nappa leather-trim seats, 20-inch black noise wheels, one-of-a-kind badging including a red insert on the wing badge and the Red S badge on the liftgate, plus more.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,RED S EDITION,"Unleash the Chrysler Pacifica with the new available Red S Edition. Get Rodéo red and black Nappa leather-trim seats, 20-inch black noise wheels, one-of-a-kind badging including a red insert on the wing badge and the Red S badge on the liftgate, plus more.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,35th ANNIVERSARY EDITION,We’re celebrating 35 years of minivan innovation and leadership with an available new edition for Chrysler Pacifica that includes an array of exclusive interior and exterior features.,https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,THE CHRYSLER BRAND CARES,"To those with mobility needs our Driveability program offers:• Up to $1,000 rebate towards qualifying adaptive equipment installation• An expansive lineup tailored specifically for customers who need assistance",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,THE CHRYSLER BRAND CARES,"To those with mobility needs our Driveability program offers:• Up to $1,000 rebate towards qualifying adaptive equipment installation• An expansive lineup tailored specifically for customers who need assistance",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Overview,THE CHRYSLER BRAND CARES,"To those with mobility needs our Driveability program offers:• Up to $1,000 rebate towards qualifying adaptive equipment installation• An expansive lineup tailored specifically for customers who need assistance",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/bhp/hero/desktop/2020-fiat-start-presidents-day-sales-event.png
2020,Chrysler,Pacifica,Hybrid,GALLERY,"Designed with drivers and passengers in mind, the Chrysler Pacifica Hybrid is loaded with features that put the competition in its place.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/2017/pacifica/vlp/desktop/arrow-down.png
2020,Chrysler,Pacifica,Hybrid,WE PLAY TO WIN,"Designed with drivers and passengers in mind, the Chrysler Pacifica Hybrid is loaded with features that put the competition in its place.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/2017/pacifica/vlp/desktop/arrow-down.png
2020,Chrysler,Pacifica,Hybrid,WE PLAY TO WIN,"Designed with drivers and passengers in mind, the Chrysler Pacifica Hybrid is loaded with features that put the competition in its place.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/2017/pacifica/vlp/desktop/arrow-down.png
2020,Chrysler,Pacifica,Hybrid,WE PLAY TO WIN,"Designed with drivers and passengers in mind, the Chrysler Pacifica Hybrid is loaded with features that put the competition in its place.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/2017/pacifica/vlp/desktop/arrow-down.png
2020,Chrysler,Pacifica,Hybrid,BETTER THAN THE REST,"The Chrysler Pacifica Hybrid, America’s first-ever hybrid minivan, offers a package of efficiency, safety, security and convenience features that you won’t find anywhere else.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/2017/pacifica/vlp/desktop/arrow-down.png
2020,Chrysler,Pacifica,Hybrid,GO WHERE YOU WANTWHEN YOU WANT,Take the road by storm without any of the range anxiety. The Chrysler Pacifica Hybrid gets up to an incredible 82 MPGe rating and seamlessly switches from electric to gas for greater peace of mind.,https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/2017/pacifica/vlp/desktop/arrow-down.png
2020,Chrysler,Pacifica,Hybrid,CHARGING MADE EASY,"We’ve teamed up with Amazon to make installing a faster charger more convenient. With online scheduled appointments with a licensed electrician and the Amazon Happiness Guarantee, it’s never been so simple.",https://www.chrysler.com/content/dam/fca-brands/na/chrysler/en_us/2017/pacifica/vlp/desktop/arrow-down.png
