YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2020,Ford,EcoSport,Capability,Perfect for Life on the Go,"Feel at home in any environment. With versatile seating, an available Cargo Management System and two engines to choose from, this SUV is designed to accommodate you on all your adventures. Plus, with available Intelligent 4WD, you can feel confident handling the everyday.",https://www.ford.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/ford/nameplate/ecosport/2020/collections/dm/20_FRD_ECO_000003_SES.tif?croppathe=1_16x7&wid=1440
2020,Ford,EcoSport,Capability,Intelligent 4WD,"Compact in size and offering capability-enhancing features, the 2020 EcoSport is a master of maneuverability. For added confidence on the road, there's Intelligent 4WD, which helps keep you firmly on the ground, delivering added traction when you need it.",https://www.ford.com/cmslibs/content/dam/vdm_ford/live/en_us/ford/nameplate/ecosport/2020/collections/3-2/20_FRD_ECO_47800_000043_TNM_219.jpg/_jcr_content/renditions/cq5dam.web.1440.1440.jpeg
2020,Ford,EcoSport,Capability,Keep Moving Forward,Hill start assist can help you switch from brake to gas without rolling backward. The system automatically works with the anti-lock brakes to hold the vehicle in place for up to two seconds while you transition your foot from the brake to the accelerator.10,https://www.ford.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/ford/nameplate/ecosport/2020/collections/dm/20_FRD_ECO_000037_SES_V5.tif?croppathe=1_16x9&wid=1440
2020,Ford,EcoSport,Capability,Proven Performance,"Ford EcoBoost® engines have proven their performance. The standard 1.0L EcoBoost in the 2020 Ford EcoSport is no exception. Turbocharged and featuring direct injection, it delivers enough power to get you wherever you need to go.",https://www.ford.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/ford/nameplate/ecosport/2020/collections/dm/20_FRD_ECO_000002_SE.tif?croppathe=2_3x2&wid=900
2020,Ford,EcoSport,Capability,Conserve Your Energy,"Auto Start-Stop Technology can help reduce fuel consumption and vehicle emissions during city driving. When the vehicle comes to a stop, the engine automatically shuts off and then seamlessly restarts when your foot leaves the brake pedal.",https://www.ford.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/ford/nameplate/ecosport/2020/collections/dm/20_FRD_ECO_000007_TNM_EB_badge.tif?croppathe=1_21x9&wid=1440
2020,Ford,EcoSport,Capability,Bring the Swing,"For convenient cargo loading, the 2020 EcoSport comes with a rear swing gate, which opens to the side to give you easy access to your belongings without your having to stretch and reach for a handle or duck to grab your things.",https://www.ford.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/ford/nameplate/ecosport/2020/collections/dm/20_FRD_ECO_000040_SES_V3.tif?croppathe=1_21x9&wid=1440
2020,Ford,EcoSport,Capability,Pack in the Fun,"The Cargo Management System, standard on the SE and above, includes an adjustable rear load floor and shelf that you can use to customize how you stow your gear. Or create even more personal storage solutions with the available Cargo Management Package, featuring a cargo net and organizers.",https://www.ford.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/ford/nameplate/ecosport/2020/collections/dm/20_FRD_C9655019_ECOS_CargoArea_mn.tif?croppathe=1_3x1&wid=1440
2020,Ford,EcoSport,Capability,There’s Room to Spare,"If you're looking for extra room in the back, this SUV has it. Fold the back row of seats up to accommodate extra friends or down to haul cargo. *","https://www.ford.comdata:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAABAAAAAHCAYAAAABIM1CAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAABpJREFUeNpi/P//PwMlgImBQjBqABUMAAgwAFg0Awscjv2CAAAAAElFTkSuQmCC"
2020,Ford,EcoSport,Capability,Tuned in to the Road,"Feel in control wherever you go. Compared with a regular suspension, the available SES sport-tuned suspension in the SES provides you with less body roll, a better feel of the road and impressive handling around curves.",https://www.ford.com//ford-h.assetsadobe.com/is/image/content/dam/vdm_ford/live/en_us/ford/nameplate/ecosport/2020/collections/dm/20_FRD_ECO_40600.tif?croppathe=1_16x9&wid=1440
2020,Ford,EcoSport,Capability,Zip Code,"Now you can view exclusive price savings on our Build & Price shopping tool.

Note: A/Z Plan pricing information is not available on all Ford websites. In addition, some vehicles, trims or options you select may not qualify for A/Z Plans. Also, some dealers may choose not to participate in A/Z Plan pricing. Contact your local dealer to determine their level of participation in the program and final vehicle pricing.

What happens if I close this site before I'm finished?

If you close your window or tab, you must re-access the site through the A/Z Plan Pricing website to ensure that all eligible plan pricing is visible. If you need additional information concerning the A/Z Plans, please refer back to your A/Z Plan Pricing website for complete details.

A/X/Z Plan pricing, including A/X/Z Plan option pricing, is exclusively for eligible Ford Motor Company employees, friends and family members of eligible employees, and Ford Motor Company eligible partners. Restrictions apply. See your Ford or Lincoln Dealer for complete details and qualifications. Ford Motor Company reserves the right to modify the terms of this plan at any time.",https://www.ford.com/cmslibs/content/dam/vdm_ford/live/en_us/ford/nameplate/ecosport/2020/collections/3-2/2020_eco_tnm_rbrd_nav_280x121.png/_jcr_content/renditions/cq5dam.web.1280.1280.png
