YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2019,Honda,CIVIC SEDAN,Exterior,Thrills All Around,"The 2019 Civic Sedan features aggressive lines and refined features that make it stand out from the crowd. Signature C-shaped taillights, a sleek profile and a new Sport trim add to its fierce personality.",https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2019/Civic-Sedan/00-NEW-VLP/Exterior/0-Ext-Overview/MY19-CIVIC-SEDAN-transfer-EXTERIOR-Overview-1400-2x.jpg
2019,Honda,CIVIC SEDAN,Exterior,LED Headlights,Civic Touring Sedan features LED headlights with auto-on/off that are perfect for lighting up the road and your life.,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2019/Civic-Sedan/00-NEW-VLP/Exterior/0-Ext-Overview/MY19-CIVIC-SEDAN-transfer-EXTERIOR-Overview-1400-2x.jpg
2019,Honda,CIVIC SEDAN,Exterior,Sophisticated body lines,"With a bold, aggressive face and sharp, sophisticated bodylines throughout, every angle of the Civic Sedan exterior is the right angle.",https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2019/Civic-Sedan/00-NEW-VLP/Exterior/0-Ext-Overview/MY19-CIVIC-SEDAN-transfer-EXTERIOR-Overview-1400-2x.jpg
2019,Honda,CIVIC SEDAN,Exterior,Sleek Profile,"Civic Sedan features a sleek profile and a long wheelbase, making it sporty even when standing still.",https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2019/Civic-Sedan/00-NEW-VLP/Exterior/0-Ext-Overview/MY19-CIVIC-SEDAN-transfer-EXTERIOR-Overview-1400-2x.jpg
2019,Honda,CIVIC SEDAN,Exterior,Taillights with Integrated LED Light Bars,The C-shaped LED taillights were designed to make a strong styling statement that’s uniquely Civic.,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2019/Civic-Sedan/00-NEW-VLP/Exterior/0-Ext-Overview/MY19-CIVIC-SEDAN-transfer-EXTERIOR-Overview-1400-2x.jpg
2019,Honda,CIVIC SEDAN,Exterior,Aggressive Stance,"The wide, aggressive stance shows that the Civic Sedan is ready to scorch the pavement.",https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2019/Civic-Sedan/00-NEW-VLP/Exterior/0-Ext-Overview/MY19-CIVIC-SEDAN-transfer-EXTERIOR-Overview-1400-2x.jpg
2019,Honda,CIVIC SEDAN,Exterior,Sport Trim,"New for 2019, the Sport trim stands out from the crowd with its 18-inch alloy wheels, center outlet exhaust, fog lights and more.",https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2019/Civic-Sedan/00-NEW-VLP/Exterior/0-Ext-Overview/MY19-CIVIC-SEDAN-transfer-EXTERIOR-Overview-1400-2x.jpg
2019,Honda,CIVIC SEDAN,Exterior,Drivetrain,With up to 174 horsepower,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2019/Civic-Sedan/00-NEW-VLP/Exterior/0-Ext-Overview/MY19-CIVIC-SEDAN-transfer-EXTERIOR-Overview-1400-2x.jpg
2019,Honda,CIVIC SEDAN,Exterior,174-HP Turbocharged Engine,The Civic Sedan offers an available turbocharged engine that produces 174 horsepower,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2019/Civic-Sedan/00-NEW-VLP/Exterior/0-Ext-Overview/MY19-CIVIC-SEDAN-transfer-EXTERIOR-Overview-1400-2x.jpg
2019,Honda,CIVIC SEDAN,Exterior,158-HP Engine,The Civic Sedan comes standard with a 158-horsepower,https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2019/Civic-Sedan/00-NEW-VLP/Exterior/0-Ext-Overview/MY19-CIVIC-SEDAN-transfer-EXTERIOR-Overview-1400-2x.jpg
2019,Honda,CIVIC SEDAN,Exterior,MacPherson Strut Front Suspension,"The Civic Sedan was designed to handle with the best of them, featuring standard MacPherson struts.",https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2019/Civic-Sedan/00-NEW-VLP/Exterior/0-Ext-Overview/MY19-CIVIC-SEDAN-transfer-EXTERIOR-Overview-1400-2x.jpg
2019,Honda,CIVIC SEDAN,Exterior,17-Inch Black Alloy Wheels,"The large, 17-inch black alloy wheels create a cleaner, more contemporary look for your Civic Sedan.",https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2019/Civic-Sedan/00-NEW-VLP/Exterior/0-Ext-Overview/MY19-CIVIC-SEDAN-transfer-EXTERIOR-Overview-1400-2x.jpg
2019,Honda,CIVIC SEDAN,Exterior,Decklid Spoiler,"The Decklid Spoiler adds a subtle, tasteful enhancement that adds to the sleek aerodynamics of your Civic Sedan.",https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2019/Civic-Sedan/00-NEW-VLP/Exterior/0-Ext-Overview/MY19-CIVIC-SEDAN-transfer-EXTERIOR-Overview-1400-2x.jpg
2019,Honda,CIVIC SEDAN,Exterior,Door Visors,"Enjoy some fresh air, even when the weather isn't ideal, with Door Visors.",https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2019/Civic-Sedan/00-NEW-VLP/Exterior/0-Ext-Overview/MY19-CIVIC-SEDAN-transfer-EXTERIOR-Overview-1400-2x.jpg
2019,Honda,CIVIC SEDAN,Exterior,LED Fog Lights,"LED Fog Lights can add visibility crucial in navigating poor weather conditions, including rain and snow, as well as dense fog.",https://automobiles.honda.com/-/media/Honda-Automobiles/Vehicles/2019/Civic-Sedan/00-NEW-VLP/Exterior/0-Ext-Overview/MY19-CIVIC-SEDAN-transfer-EXTERIOR-Overview-1400-2x.jpg
