YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2020,Hyundai,Venue,VENUE,VENUE,35 MPG Hwyi,https://www.hyundaiusa.com/images/vehicles/pages/vlp/auto-hook-icon-white.svg
2020,Hyundai,Venue,Get in. Get after it.,Get in. Get after it.,"Unapologetically small, agile and not fragile, the first-ever Venue shoulders its way to the front of the line. Chiseled angles and fresh style. Tech that’s got people talking and safety that checks all the boxes. Venue brings them all together with city smarts and can-do attitude.",https://www.hyundaiusa.com/images/vehicles/pages/vlp/2020/venue/walkaround/walkaround-backfill.jpg
2020,Hyundai,Venue,Walkaround,Featuring the Venue Denim,"Your complete guided tour, inside and out.",https://www.hyundaiusa.com/images/vehicles/pages/vlp/2020/venue/walkaround/Hyundai-Showroom-Live-Icon.svg
2020,Hyundai,Venue,Live,Streaming tommorow 8am to 12pm PST,Our live Q&A show on all things Venue,https://www.hyundaiusa.com/images/vehicles/pages/vlp/2020/venue/walkaround/Hyundai-Showroom-Live-Icon.svg
2020,Hyundai,Venue,Compare 3 VENUE trims,Compare 3 VENUE trims,1.6-liter4-cylinder engine,https://www.hyundaiusa.com/images/vehicles/pages/vlp/2020/venue/compare/2020-venue-se-green-apple.png
2020,Hyundai,Venue,Urban Exploration,It’s got all the right moves.,"The first-ever Venue takes to the streets like a boss, getting you from meetings to meet-ups with confidence and ease. With safety that looks out for you when distractions abound. Fast-moving tech that keeps up with you. And standout style that looks good uptown and downtown.",https://www.hyundaiusa.com/images/vehicles/pages/vlp/2020/venue/features/urban-exploration/safety-first.jpg
2020,Hyundai,Venue,Urban Exploration,Urban Exploration,"All kinds of advanced monitoring make for an extra safety lookout, know what’s in your blind spot, stay in your lane, and avoid potential collisions.",https://www.hyundaiusa.com/images/vehicles/pages/vlp/2020/venue/features/urban-exploration/overlay/safety-first.jpg
2020,Hyundai,Venue,Design,"Fresh, forward, fierce.","With its wide stance and unflinching profile, the new kid on the block’s got a style all its own. Venue puts a bold face forward with its signature cascading grille, available LED headlights and Daytime Running Lights. And it doesn’t stop there. Great style continues with smart, fresh design inside, too.",/images/vehicles/pages/vlp/2020/venue/exterior/360/1280x630/sel/2020-venue-sel-premium-ceramic-white-001.jpg
2020,Hyundai,Venue,Snow Mode,Get a grip.,"Drive Mode Select lets you choose normal, sport or snow mode. So when the slippery stuff starts coming down, choose Snow Mode with advanced traction control for optimized driving in bad weather.",https://www.hyundaiusa.com/images/vehicles/pages/vlp/2020/venue/snow-mode/venue-snow.png
2020,Hyundai,Venue,Technology,For the life that’s always on.,Venue’s got the tech to make you feel like you’re tackling everything at once. With safety features that have your back from every angle. Connections for your phone that power you on and a touchscreen that shows you everything you need to keep moving forward. It’s all here and it’s on.,https://www.hyundaiusa.com/images/vehicles/pages/vlp/2020/venue/features/technology/dual-usb.jpg
2020,Hyundai,Venue,Technology,Technology,Get to your favorite mobile apps safely from your touchscreen.*,https://www.hyundaiusa.com/images/vehicles/pages/vlp/2020/venue/features/technology/dual-usb.jpg
2020,Hyundai,Venue,Venue Denim,"Cool, Classic Denim.","The versatile and nimble Venue Denim edition is a 
							special combination of features including contrasting 
							blue with white accents, 17-inch alloy wheels and 
							a striking interior denim/leatherette combo.",https://www.hyundaiusa.com/images/vehicles/pages/vlp/2020/venue/denim/venue-side.jpg
2020,Hyundai,Kona,KONA Electric,KONA Electric,"Introducing the world's first zero-emission subcompact SUV, with an incredible EPA-estimated range of 258 miles. 2019 Kona Electric, winner, 2019 North American Utility Vehicle of the Year™*",https://www.hyundaiusa.com/images/vehicles/pages/vlp/2019/kona/main/kona-electric-module-desktop.jpg
2020,Hyundai,Kona,Rear Cross-Traffic Collision Warning (RCCW)*,Rear Cross-Traffic Collision Warning (RCCW)*,"Helps you back out of a parking space or driveway by detecting traffic coming from either side of the rear of your
								vehicle and provides an audible warning.",https://www.hyundaiusa.com/images/new-thinking/smartsense/feature/FCA-desktop.jpg
2020,Hyundai,Kona,Rear Cross-Traffic Collision Warning (RCCW)*,Forward Collision-Avoidance Assist (FCA)*,"The moment it detects a slowing or stopped vehicle or a pedestrian in your path, it warns you of a potential
								collision. If you don't stop in time, the system will automatically apply emergency braking to help avoid or reduce the severity
								of a collision.",https://www.hyundaiusa.com/images/new-thinking/smartsense/feature/FCA-desktop.jpg
2020,Hyundai,Kona,Rear Cross-Traffic Collision Warning (RCCW)*,Driver Attention Warning (DAW)*,"Continuously monitors your driving patterns to detect drowsy or inattentive driving. Once detected, it alerts the
								driver with a sound cue coupled with a warning message on the instrument panel.",https://www.hyundaiusa.com/images/new-thinking/smartsense/feature/DAW-desktop.jpg
