YEAR,MAKE,MODEL,SECTION,TITLE,DESCRIPTION,IMAGE
2020,Infiniti,Q50,PERFORMANCE,"IT MOVES YOU. LITERALLY, AND FIGURATIVELY.3.0-liter V6 Twin-Turbo Engine","The Q50's 3.0-liter twin-turbocharged engine is now standard for 2020, and delivers up to 400 horsepower with truly breathtaking performance. The engine block is crafted entirely out of aluminum to reduce weight and increase responsiveness. The 300 horsepower version gets up to 29 mpg on the highway.[[5422]]",https://www.infinitiusa.com/content/dam/Infiniti/US/vehicles/Q50/2020/overview/2020-infiniti-q50-sedan-3-l-engine.jpg.ximg.l_full_m.smart.jpg
2020,Infiniti,Q50,PERFORMANCE,400,HORSEPOWER,https://www.infinitiusa.com/content/dam/Infiniti/US/vehicles/Q50/2020/overview/2020-infiniti-q50-sedan-3-l-engine.jpg.ximg.l_full_m.smart.jpg
2020,Infiniti,Q50,PERFORMANCE,26,HWY MILES PER GAL[[5422]],https://www.infinitiusa.com/content/dam/Infiniti/US/vehicles/Q50/2020/overview/2020-infiniti-q50-sedan-3-l-engine.jpg.ximg.l_full_m.smart.jpg
2020,Infiniti,Q50,PERFORMANCE,3.0t,6 CYLINDER,https://www.infinitiusa.com/content/dam/Infiniti/US/vehicles/Q50/2020/overview/2020-infiniti-q50-sedan-3-l-engine.jpg.ximg.l_full_m.smart.jpg
2020,Infiniti,Q50,PERFORMANCE,350,LB-FT TORQUE,https://www.infinitiusa.com/content/dam/Infiniti/US/vehicles/Q50/2020/overview/2020-infiniti-q50-sedan-3-l-engine.jpg.ximg.l_full_m.smart.jpg
2020,Infiniti,Q50,PERFORMANCE,A Road Dominating CombinationPower + Technology,"When power and technology work together harmoniously, you’re able to perform at another level. Q50 harnesses the raw, visceral power of its standard 3.0-liter V6 and translates it into meaningful performance with a suite of innovative technologies.",https://www.infinitiusa.com/content/dam/Infiniti/US/vehicles/Q50/2020/features/performance/2020-infiniti-q50-sedan-power-technology-video.jpg.ximg.l_12_m.smart.jpg
2020,Infiniti,Q50,PERFORMANCE,It Puts Power Where You Need ItIntelligent All-Wheel Drive,"Available Intelligent All-Wheel Drive can instantly adapt to changing conditions. Wheelspin, throttle, and speed are monitored and up to 50% of the available power can be sent to the front wheels for better traction. When All-Wheel Drive isn’t needed, the rear wheels get 100% of the power for a more classic sports car feel. [[2242]]",https://www.infinitiusa.com/content/dam/Infiniti/US/vehicles/Q50/2020/features/performance/2020-infiniti-q50-sedan-awd-intelligent-all-wheel-drive.jpg.ximg.l_12_m.smart.jpg
2020,Infiniti,Q50,PERFORMANCE,Handle With Instant AdaptabilityDynamic Digital Suspension,"With this available feature, Q50 recalibrates the balance between comfort and performance into something revolutionary. Use the touchscreen display or drive mode selector switch to choose your preferred suspension firmness and reveal a highly personal and responsive experience.",https://www.infinitiusa.com/content/dam/Infiniti/US/vehicles/Q50/2020/features/performance/2020-infiniti-q50-dynamic-digital-suspension.jpg.ximg.l_12_m.smart.jpg
2020,Infiniti,Q50,PERFORMANCE,DRIVE MODE SELECTORDrive Mode Selector,"INFINITI Drive Mode Selector takes performance and control to a more refined level. The result is one that suits the moment and more importantly, can be tailored exactly to your driving style.[[5227]]",https://www.infinitiusa.com/content/dam/Infiniti/US/vehicles/Q50/2020/features/performance/2020-infiniti-q50-drive-mode-selector.jpg.ximg.l_12_m.smart.jpg
2020,Infiniti,Q50,DESIGN,INFINITI Design - EvolvedSignature Style,"Emotion begins with a simple experience. As time goes on, our sensations grow and progress. It's only fitting that the shapes around us follow suit. INFINITI continues to break through convention, pushing the limits of sedan styling with the new 2020 Q50.",https://www.infinitiusa.com/content/dam/Infiniti/US/vehicles/Q50/2020/features/performance/2020-infiniti-q50-edition-30-design-side-profile-red.jpg.ximg.l_full_m.smart.jpg
2020,Infiniti,Q50,DESIGN,LED LIGHTS,"INFINITI's expressive illumination is centered around two multi-mode jeweled headlamps, accented by LED daytime running lights.",https://www.infinitiusa.com/content/dam/Infiniti/US/vehicles/Q50/2020/features/performance/2020-infiniti-q50-red-sport-400-led-headlight.jpg.ximg.l_4_m.smart.jpg
2020,Infiniti,Q50,DESIGN,Crescent window,"The artful crescent-shaped design arcs rearward, evoking motion while creating a feeling of space and providing greater outward visibility for rear passengers.",https://www.infinitiusa.com/content/dam/Infiniti/US/vehicles/Q50/2020/features/performance/2020-infiniti-q50-crescent-window.jpg.ximg.l_4_m.smart.jpg
2020,Infiniti,Q50,DESIGN,Sculpted Body,"As though chiseled from athleticism, its fenders flare with muscular tension. Broad-shouldered, poised, with a low, wide-swept stance.",https://www.infinitiusa.com/content/dam/Infiniti/US/vehicles/Q50/2020/features/performance/2020-infiniti-q50-exterior-design.jpg.ximg.l_4_m.smart.jpg
